indice,voltaje,label
354,0.0,extension
355,0.0,extension
356,0.0,extension
357,0.0,extension
358,0.0,extension
359,0.0,extension
360,0.0,extension
361,0.0,extension
362,0.0,extension
363,0.0,extension
364,0.0,extension
365,0.0,extension
366,0.0,extension
367,0.0,extension
368,0.0,extension
369,0.0,extension
370,0.0,extension
371,0.0,extension
372,0.0,extension
373,0.0,extension
374,0.0,extension
375,0.0,extension
376,0.0,extension
377,0.0,extension
378,0.0,extension
379,0.0,extension
380,0.0,extension
381,0.0,extension
382,0.0,extension
383,0.0,extension
384,0.0,extension
385,0.0,extension
386,0.0,extension
387,0.0,extension
388,0.0,extension
389,0.0,extension
390,0.0,extension
391,0.0,extension
392,0.0,extension
393,0.0,extension
394,0.0,extension
395,0.0,extension
396,0.0,extension
397,0.0,extension
398,0.0,extension
399,0.0,extension
400,0.0,extension
401,0.0,extension
402,0.0,extension
403,0.0,extension
404,0.0,extension
405,0.0,extension
406,0.0,extension
407,0.0,extension
408,0.0,extension
409,0.0,extension
410,0.0,extension
411,0.0,extension
412,0.0,extension
413,0.0,extension
414,0.0,extension
415,0.0,extension
416,0.0,extension
417,0.0,extension
418,0.0,extension
419,0.0,extension
420,0.0,extension
421,0.0,extension
422,0.0,extension
423,0.0,extension
424,0.0,extension
425,0.0,extension
426,0.0,extension
427,0.0,extension
428,0.0,extension
429,0.0,extension
430,0.0,extension
431,0.0,extension
432,0.0,extension
433,0.0,extension
434,0.0,extension
435,0.0,extension
436,0.0,extension
437,0.0,extension
438,0.0,extension
439,0.0,extension
440,0.0,extension
441,0.0,extension
442,0.0,extension
443,0.0,extension
444,0.0,extension
445,0.0,extension
446,0.0,extension
447,0.0,extension
448,0.0,extension
449,0.0,extension
450,0.0,extension
451,0.0,extension
452,0.0,extension
453,0.0,extension
454,0.0,extension
455,0.0,extension
456,0.0,extension
457,0.0,extension
458,0.0,extension
459,0.0,extension
460,0.0,extension
461,0.0,extension
462,0.0,extension
463,0.0,extension
464,0.0,extension
465,0.0,extension
466,0.0,extension
467,0.0,extension
468,0.0,extension
469,0.0,extension
470,0.0,extension
471,0.0,extension
472,0.0,extension
473,0.0,extension
474,0.0,extension
475,0.0,extension
476,0.0,extension
477,0.0,extension
478,0.0,extension
479,0.0,extension
480,0.0,extension
481,0.0,extension
482,0.0,extension
483,0.0,extension
484,0.0,extension
485,0.0,extension
486,0.0,extension
487,0.0,extension
488,0.0,extension
489,0.0,extension
490,0.0,extension
491,0.0,extension
492,0.0,extension
493,0.0,extension
494,0.0,extension
495,0.0,extension
496,0.0,extension
497,0.0,extension
498,0.0,extension
499,0.0,extension
500,0.0,extension
501,0.0,extension
502,0.0,extension
503,0.0,extension
504,0.0,extension
505,0.0,extension
506,0.0,extension
507,0.0,extension
508,0.0,extension
509,0.0,extension
510,0.0,extension
511,0.0,extension
512,0.0,extension
