indice,voltaje,label
319,0.0,flexion
320,0.0,flexion
321,0.0,flexion
322,0.0,flexion
323,0.0,flexion
324,0.0,flexion
325,0.0,flexion
326,0.0,flexion
327,0.0,flexion
328,0.0,flexion
329,0.0,flexion
330,0.0,flexion
331,0.0,flexion
332,0.0,flexion
333,0.0,flexion
334,0.0,flexion
335,0.0,flexion
336,0.0,flexion
337,0.0,flexion
338,0.0,flexion
339,0.0,flexion
340,0.0,flexion
341,0.0,flexion
342,0.0,flexion
343,0.0,flexion
344,0.0,flexion
345,0.0,flexion
346,0.0,flexion
347,0.0,flexion
348,0.0,flexion
349,0.0,flexion
350,0.0,flexion
351,0.0,flexion
352,0.0,flexion
353,0.0,flexion
354,0.0,flexion
355,0.0,flexion
356,0.0,flexion
357,0.0,flexion
358,0.0,flexion
359,0.0,flexion
360,0.0,flexion
361,0.0,flexion
362,0.0,flexion
363,0.0,flexion
364,0.0,flexion
365,0.0,flexion
366,0.0,flexion
367,0.0,flexion
368,0.0,flexion
369,0.0,flexion
370,0.0,flexion
371,0.0,flexion
372,0.0,flexion
373,0.0,flexion
374,0.0,flexion
375,0.0,flexion
376,0.0,flexion
377,0.0,flexion
378,0.0,flexion
379,0.0,flexion
380,0.0,flexion
381,0.0,flexion
382,0.0,flexion
383,0.0,flexion
384,0.0,flexion
385,0.0,flexion
386,0.0,flexion
387,0.0,flexion
388,0.0,flexion
389,0.0,flexion
390,0.0,flexion
391,0.0,flexion
392,0.0,flexion
393,0.0,flexion
394,0.0,flexion
395,0.0,flexion
396,0.0,flexion
397,0.0,flexion
398,0.0,flexion
399,0.0,flexion
400,0.0,flexion
401,0.0,flexion
402,0.0,flexion
403,0.0,flexion
404,0.0,flexion
405,0.0,flexion
406,0.0,flexion
407,0.0,flexion
408,0.0,flexion
409,0.0,flexion
410,0.0,flexion
411,0.0,flexion
412,0.0,flexion
413,0.0,flexion
414,0.0,flexion
415,0.0,flexion
416,0.0,flexion
417,0.0,flexion
418,0.0,flexion
419,0.0,flexion
420,0.0,flexion
421,0.0,flexion
422,0.0,flexion
423,0.0,flexion
424,0.0,flexion
425,0.0,flexion
426,0.0,flexion
427,0.0,flexion
428,0.0,flexion
429,0.0,flexion
430,0.0,flexion
431,0.0,flexion
432,0.0,flexion
433,0.0,flexion
434,0.0,flexion
435,0.0,flexion
436,0.0,flexion
437,0.0,flexion
438,0.0,flexion
439,0.0,flexion
440,0.0,flexion
441,0.0,flexion
442,0.0,flexion
443,0.0,flexion
444,0.0,flexion
445,0.0,flexion
446,0.0,flexion
447,0.0,flexion
448,0.0,flexion
449,0.0,flexion
450,0.0,flexion
451,0.0,flexion
452,0.0,flexion
453,0.0,flexion
454,0.0,flexion
455,0.0,flexion
456,0.0,flexion
457,0.0,flexion
458,0.0,flexion
459,0.0,flexion
460,0.0,flexion
461,0.0,flexion
462,0.0,flexion
463,0.0,flexion
464,0.0,flexion
465,0.0,flexion
466,0.0,flexion
467,0.0,flexion
468,0.0,flexion
469,0.0,flexion
470,0.0,flexion
471,0.0,flexion
472,0.0,flexion
473,0.0,flexion
474,0.0,flexion
475,0.0,flexion
476,0.0,flexion
477,0.0,flexion
478,0.0,flexion
479,0.0,flexion
480,0.0,flexion
481,0.0,flexion
482,0.0,flexion
483,0.0,flexion
484,0.0,flexion
485,0.0,flexion
486,0.0,flexion
487,0.0,flexion
488,0.0,flexion
489,0.0,flexion
490,0.0,flexion
491,0.0,flexion
