indice,voltaje
0,1.8518681318681318
1,1.8961904761904762
2,1.9389010989010986
3,1.9816117216117215
4,2.021098901098901
5,2.0549450549450547
6,2.0775091575091573
7,2.092014652014652
8,2.092014652014652
9,2.0815384615384613
10,2.058168498168498
11,2.023516483516483
12,1.9824175824175825
13,1.9324542124542123
14,1.8744322344322342
15,1.8172161172161172
16,1.7583882783882783
17,1.6963369963369963
18,1.635091575091575
19,1.5778754578754577
20,1.5238827838827838
21,1.4747252747252748
22,1.432014652014652
23,1.394139194139194
24,1.3635164835164835
25,1.3385347985347984
26,1.3208058608058608
27,1.3079120879120878
28,1.302271062271062
29,1.303076923076923
30,1.3087179487179488
31,1.3199999999999998
32,1.3361172161172161
33,1.3562637362637362
34,1.3828571428571428
35,1.4102564102564104
36,1.4408791208791207
37,1.4747252747252748
38,1.5093772893772892
39,1.5440293040293038
40,1.5786813186813187
41,1.6133333333333333
42,1.6471794871794871
43,1.6802197802197802
44,1.7100366300366299
45,1.7406593406593407
46,1.767252747252747
47,1.7922344322344321
48,1.8147985347985347
49,1.8365567765567765
50,1.8550915750915749
51,1.8712087912087911
52,1.884908424908425
53,1.8978021978021977
54,1.9066666666666665
55,1.9123076923076923
56,1.9163369963369963
57,1.917948717948718
58,1.9195604395604395
59,1.9123076923076923
60,1.9058608058608058
61,1.8978021978021977
62,1.888131868131868
63,1.8768498168498169
64,1.8671794871794871
65,1.854285714285714
66,1.8454212454212455
67,1.834139194139194
68,1.8236630036630035
69,1.8099633699633697
70,1.7954578754578754
71,1.7769230769230768
72,1.759194139194139
73,1.7406593406593407
74,1.7293772893772892
75,1.7019780219780218
76,1.6810256410256408
77,1.6697435897435897
78,1.6528205128205127
79,1.6383150183150181
80,1.6278388278388278
81,1.6157509157509158
82,1.6076923076923078
83,1.602051282051282
84,1.601245421245421
85,1.5947985347985347
86,1.597216117216117
87,1.6004395604395603
88,1.6044688644688643
89,1.6093040293040293
90,1.6149450549450548
91,1.6197802197802198
92,1.6254212454212453
93,1.6286446886446884
94,1.6334798534798534
95,1.6399267399267399
96,1.647985347985348
97,1.6592673992673992
98,1.6632967032967032
99,1.6713553113553112
100,1.6592673992673992
101,1.6834432234432235
102,1.6915018315018315
103,1.6987545787545786
104,1.7068131868131868
105,1.7132600732600731
106,1.7197069597069596
107,1.7285714285714286
108,1.7358241758241757
109,1.7414652014652012
110,1.743882783882784
111,1.7487179487179487
112,1.751941391941392
113,1.755164835164835
114,1.755970695970696
115,1.76
116,1.7616117216117215
117,1.763223443223443
118,1.7624175824175823
119,1.7583882783882783
120,1.7535531135531133
121,1.7487179487179487
122,1.7398534798534797
123,1.7317948717948717
124,1.7237362637362637
125,1.7140659340659339
126,1.705201465201465
127,1.6955311355311355
128,1.6866666666666665
129,1.6761904761904762
130,1.6689377289377287
131,1.6616849816849815
132,1.6552380952380952
133,1.6487912087912087
134,1.6455677655677654
135,1.6423443223443221
136,1.6407326007326006
137,1.6391208791208791
138,1.6367032967032966
139,1.6383150183150181
140,1.6375091575091574
141,1.6391208791208791
142,1.6407326007326006
143,1.6415384615384614
144,1.6455677655677654
145,1.6471794871794871
146,1.6512087912087912
147,1.6528205128205127
148,1.6552380952380952
149,1.6568498168498167
150,1.6584615384615384
151,1.6584615384615384
152,1.6624908424908424
153,1.6600732600732602
154,1.6608791208791207
155,1.6600732600732602
156,1.6649084249084247
157,1.6608791208791207
158,1.6632967032967032
159,1.6641025641025642
160,1.6681318681318682
161,1.6721611721611722
162,1.6769963369963368
163,1.6826373626373625
164,1.6898901098901098
165,1.6979487179487178
166,1.7068131868131868
167,1.7156776556776556
168,1.7342124542124542
169,1.7358241758241757
170,1.7463003663003662
171,1.755164835164835
172,1.7648351648351648
173,1.772087912087912
174,1.7616117216117215
175,1.7857875457875456
176,1.7906227106227104
177,1.7946520146520146
178,1.7978754578754577
179,1.7994871794871794
180,1.8010989010989011
181,1.8027106227106227
182,1.7986813186813186
183,1.7986813186813186
184,1.7946520146520146
185,1.789010989010989
186,1.7817582417582416
187,1.7696703296703296
188,1.7648351648351648
189,1.7543589743589743
190,1.743882783882784
191,1.7342124542124542
192,1.7205128205128206
193,1.7084249084249084
194,1.6915018315018315
195,1.6810256410256408
196,1.6632967032967032
197,1.6528205128205127
198,1.6399267399267399
199,1.627032967032967
200,1.6165567765567763
201,1.606080586080586
202,1.5996336996336997
203,1.5947985347985347
204,1.5923809523809522
205,1.5923809523809522
206,1.5947985347985347
207,1.6004395604395603
208,1.6068864468864468
209,1.6149450549450548
210,1.623003663003663
211,1.6334798534798534
212,1.6447619047619046
213,1.6576556776556775
214,1.6697435897435897
215,1.6810256410256408
216,1.6906959706959706
217,1.6995604395604396
218,1.7027838827838826
219,1.705201465201465
220,1.7060073260073259
221,1.7035897435897436
222,1.7003663003663003
223,1.6955311355311355
224,1.6898901098901098
225,1.6834432234432235
226,1.6761904761904762
227,1.6705494505494505
228,1.6665201465201465
229,1.6616849816849815
230,1.6584615384615384
231,1.6568498168498167
232,1.6544322344322344
233,1.652014652014652
234,1.6512087912087912
235,1.647985347985348
236,1.6471794871794871
237,1.6447619047619046
238,1.6431501831501831
239,1.6407326007326006
240,1.6383150183150181
241,1.635091575091575
242,1.6326739926739926
243,1.6278388278388278
244,1.6213919413919413
245,1.6205860805860803
246,1.6165567765567763
247,1.614139194139194
248,1.6109157509157508
249,1.6109157509157508
250,1.6093040293040293
251,1.6093040293040293
252,1.61010989010989
253,1.6109157509157508
254,1.6125274725274723
255,1.6125274725274723
256,1.614139194139194
257,1.6173626373626373
258,1.6149450549450548
259,1.623003663003663
260,1.626227106227106
261,1.6286446886446884
262,1.618974358974359
263,1.6318681318681318
264,1.6318681318681318
265,1.631062271062271
266,1.6294505494505493
267,1.6278388278388278
268,1.6068864468864468
269,1.623003663003663
270,1.618168498168498
271,1.618168498168498
272,1.6165567765567763
273,1.614139194139194
274,1.6117216117216118
275,1.6109157509157508
276,1.5923809523809522
277,1.6109157509157508
278,1.6109157509157508
279,1.6109157509157508
280,1.6133333333333333
281,1.614139194139194
282,1.6157509157509158
283,1.6157509157509158
284,1.6165567765567763
285,1.6165567765567763
286,1.6157509157509158
287,1.6173626373626373
288,1.618168498168498
289,1.6197802197802198
290,1.6165567765567763
291,1.618974358974359
292,1.6173626373626373
293,1.6157509157509158
294,1.6149450549450548
295,1.6117216117216118
296,1.61010989010989
297,1.605274725274725
298,1.602051282051282
299,1.5988278388278387
300,1.593992673992674
301,1.589157509157509
302,1.585128205128205
303,1.5802930402930402
304,1.5746520146520147
305,1.5706227106227106
306,1.5665934065934066
307,1.564175824175824
308,1.5617582417582416
309,1.5617582417582416
310,1.5593406593406594
311,1.5577289377289376
312,1.5585347985347986
313,1.5617582417582416
314,1.5625641025641026
315,1.568205128205128
316,1.5673992673992674
317,1.5714285714285714
318,1.573040293040293
319,1.5762637362637362
320,1.5778754578754577
321,1.581098901098901
322,1.5827106227106227
323,1.5835164835164834
324,1.5843223443223442
325,1.5843223443223442
326,1.5843223443223442
327,1.5835164835164834
328,1.5835164835164834
329,1.581904761904762
330,1.581098901098901
331,1.581904761904762
332,1.581904761904762
333,1.5835164835164834
334,1.5843223443223442
335,1.585128205128205
336,1.5875457875457875
337,1.5907692307692307
338,1.593992673992674
339,1.5956043956043957
340,1.6004395604395603
341,1.6036630036630037
342,1.6076923076923078
343,1.6109157509157508
344,1.6149450549450548
345,1.6197802197802198
346,1.623003663003663
347,1.627032967032967
348,1.63025641025641
349,1.6334798534798534
350,1.6367032967032966
351,1.6399267399267399
352,1.6431501831501831
353,1.6463736263736264
354,1.6512087912087912
355,1.6536263736263734
356,1.6576556776556775
357,1.6608791208791207
358,1.6632967032967032
359,1.6673260073260072
360,1.6721611721611722
361,1.6778021978021977
362,1.6826373626373625
363,1.6882783882783883
364,1.6939194139194138
365,1.7027838827838826
366,1.7060073260073259
367,1.709230769230769
368,1.7124542124542124
369,1.7148717948717949
370,1.7156776556776556
371,1.7164835164835164
372,1.7172893772893771
373,1.7172893772893771
374,1.7164835164835164
375,1.7164835164835164
376,1.7164835164835164
377,1.7172893772893771
378,1.7148717948717949
379,1.7140659340659339
380,1.7124542124542124
381,1.7100366300366299
382,1.709230769230769
383,1.709230769230769
384,1.7068131868131868
385,1.7060073260073259
386,1.7060073260073259
387,1.7003663003663003
388,1.7019780219780218
389,1.7068131868131868
390,1.7100366300366299
391,1.7140659340659339
392,1.718095238095238
393,1.722930402930403
394,1.7277655677655677
395,1.7293772893772892
396,1.7342124542124542
397,1.735018315018315
398,1.697142857142857
399,1.7382417582417582
400,1.7382417582417582
401,1.7374358974358972
402,1.739047619047619
403,1.7334065934065932
404,1.7326007326007327
405,1.7285714285714286
406,1.726959706959707
407,1.7213186813186812
408,1.7164835164835164
409,1.7124542124542124
410,1.7076190476190476
411,1.705201465201465
412,1.7043956043956043
413,1.7035897435897436
414,1.705201465201465
415,1.7060073260073259
416,1.7084249084249084
417,1.7100366300366299
418,1.7116483516483516
419,1.7148717948717949
420,1.7197069597069596
421,1.722930402930403
422,1.726153846153846
423,1.7326007326007327
424,1.739047619047619
425,1.7463003663003662
426,1.7527472527472527
427,1.76
428,1.767252747252747
429,1.7736996336996336
430,1.7825641025641024
431,1.7857875457875456
432,1.7898168498168496
433,1.7906227106227104
434,1.7914285714285714
435,1.7906227106227104
436,1.7882051282051281
437,1.784981684981685
438,1.7809523809523808
439,1.7712820512820513
440,1.763223443223443
441,1.7527472527472527
442,1.7422710622710622
443,1.7342124542124542
444,1.7253479853479852
445,1.7189010989010989
446,1.7164835164835164
447,1.7140659340659339
448,1.7148717948717949
449,1.718095238095238
450,1.7205128205128206
451,1.7277655677655677
452,1.7334065934065932
453,1.7422710622710622
454,1.747912087912088
455,1.751941391941392
456,1.7543589743589743
457,1.7567765567765568
458,1.7583882783882783
459,1.7583882783882783
460,1.7648351648351648
461,1.7583882783882783
462,1.7575824175824175
463,1.7543589743589743
464,1.7535531135531133
465,1.7495238095238093
466,1.7446886446886447
467,1.7414652014652012
468,1.7382417582417582
469,1.7342124542124542
470,1.730989010989011
471,1.726959706959707
472,1.722930402930403
473,1.7197069597069596
474,1.718095238095238
475,1.7156776556776556
476,1.7140659340659339
477,1.7156776556776556
478,1.7164835164835164
479,1.718095238095238
480,1.7213186813186812
481,1.7213186813186812
482,1.722124542124542
483,1.722930402930403
484,1.7245421245421246
485,1.726153846153846
486,1.7293772893772892
487,1.7326007326007327
488,1.7374358974358972
489,1.7406593406593407
490,1.7358241758241757
491,1.747912087912088
492,1.7495238095238093
493,1.7575824175824175
494,1.7656410256410255
495,1.7736996336996336
496,1.7865934065934064
497,1.7970695970695971
498,1.8107692307692307
499,1.826080586080586
500,1.842197802197802
501,1.8567032967032966
502,1.8986080586080585
503,1.884102564102564
504,1.8953846153846152
505,1.9026373626373625
506,1.9066666666666665
507,1.9074725274725273
508,1.8994139194139192
509,1.8994139194139192
510,1.8897435897435897
511,1.8776556776556776
512,1.8615384615384616
513,1.8430036630036628
514,1.826080586080586
515,1.8075457875457874
516,1.7898168498168496
517,1.7728937728937728
518,1.7616117216117215
519,1.7414652014652012
520,1.726959706959707
521,1.7172893772893771
522,1.7060073260073259
523,1.6995604395604396
524,1.6979487179487178
525,1.6923076923076923
526,1.6931135531135528
527,1.6939194139194138
528,1.6979487179487178
529,1.7027838827838826
530,1.7084249084249084
531,1.7164835164835164
532,1.7237362637362637
533,1.730989010989011
534,1.739047619047619
535,1.747106227106227
536,1.743882783882784
537,1.7575824175824175
538,1.7624175824175823
539,1.7656410256410255
540,1.7704761904761903
541,1.772087912087912
542,1.7745054945054943
543,1.7769230769230768
